bc/entropy,bc/epoch,bc/neglogp,bc/loss,bc/l2_loss,bc/samples_so_far,bc/prob_true_act,batch_size,bc/ent_loss,bc/batch,bc/l2_norm
-5.749698162078857,27,-6.0691070556640625,-6.063357353210449,0.0,480032,656.3484497070312,32,0.0057496982626616955,15000,177.421142578125
-5.800651550292969,28,-6.188399791717529,-6.182599067687988,0.0,496032,745.6910400390625,32,0.005800651852041483,15500,177.86376953125
-5.873113632202148,29,-6.269400596618652,-6.2635273933410645,0.0,512032,785.790283203125,32,0.0058731138706207275,16000,178.44175720214844
-5.95414924621582,30,-6.593266010284424,-6.587311744689941,0.0,528032,916.560302734375,32,0.005954149644821882,16500,179.1807861328125
-6.05393648147583,31,-6.577581405639648,-6.571527481079102,0.0,544032,999.4330444335938,32,0.006053936667740345,17000,180.099853515625
-6.206390380859375,32,-6.879383563995361,-6.8731770515441895,0.0,560032,1207.5360107421875,32,0.0062063904479146,17500,181.26632690429688
-6.349244117736816,33,-6.8019256591796875,-6.795576572418213,0.0,576032,1167.583740234375,32,0.006349244620651007,18000,182.61314392089844
-6.541224956512451,33,-6.834644317626953,-6.828103065490723,0.0,592032,1609.064697265625,32,0.006541225127875805,18500,184.3429718017578
-6.453466892242432,34,-6.866634368896484,-6.860180854797363,0.0,608032,1507.27392578125,32,0.006453467067331076,19000,183.45477294921875
-6.441737651824951,35,-6.826855659484863,-6.820414066314697,0.0,624032,1445.348876953125,32,0.006441737990826368,19500,183.45672607421875
-6.444307804107666,36,-6.94240140914917,-6.935956954956055,0.0,640032,1511.8043212890625,32,0.00644430797547102,20000,183.46722412109375
-6.4454545974731445,37,-6.597021102905273,-6.590575695037842,0.0,656032,1408.8773193359375,32,0.006445454899221659,20500,183.4796905517578
-6.463427543640137,38,-6.980671405792236,-6.974207878112793,0.0,672032,1620.1865234375,32,0.0064634280279278755,21000,183.5094451904297
-6.468156337738037,39,-6.902909278869629,-6.8964409828186035,0.0,688032,1341.51611328125,32,0.006468156818300486,21500,183.5363006591797
-6.467415809631348,40,-6.773686408996582,-6.767219066619873,0.0,704032,1424.3818359375,32,0.006467415951192379,22000,183.5618896484375
-6.461543083190918,41,-6.732086181640625,-6.7256245613098145,0.0,720032,1260.5186767578125,32,0.006461543496698141,22500,183.5876007080078
