batch_size,bc/l2_loss,bc/loss,bc/epoch,bc/l2_norm,bc/neglogp,bc/samples_so_far,bc/entropy,bc/ent_loss,bc/prob_true_act,bc/batch
32,0.0,-6.387486457824707,11,2822.567138671875,-6.3952178955078125,400032,-7.7316741943359375,0.007731674704700708,2711.218017578125,12500
32,0.0,-8.448996543884277,12,2841.83935546875,-8.45715618133545,416032,-8.159651756286621,0.008159652352333069,8568.689453125,13000
32,0.0,-7.840278625488281,12,2866.187255859375,-7.847681999206543,432032,-7.4033966064453125,0.007403397001326084,4359.2529296875,13500
32,0.0,-6.496884822845459,13,2878.78759765625,-6.504308700561523,448032,-7.424033164978027,0.007424033712595701,1852.07373046875,14000
32,0.0,-8.277178764343262,13,2889.35107421875,-8.284914016723633,464032,-7.7354865074157715,0.007735487073659897,5607.57861328125,14500
32,0.0,-8.407061576843262,14,2898.814208984375,-8.415027618408203,480032,-7.966365337371826,0.007966365665197372,6884.93310546875,15000
32,0.0,-8.548115730285645,14,2911.185546875,-8.556312561035156,496032,-8.197134971618652,0.008197135291993618,8829.0361328125,15500
32,0.0,-9.223217964172363,15,2922.384033203125,-9.231603622436523,512032,-8.385551452636719,0.00838555209338665,13506.90625,16000
32,0.0,-7.010673999786377,15,2933.16455078125,-7.01796817779541,528032,-7.294157981872559,0.007294158451259136,2860.4306640625,16500
32,0.0,-7.022695541381836,15,2933.792236328125,-7.029757499694824,544032,-7.0619120597839355,0.007061912212520838,2334.2958984375,17000
32,0.0,-7.6048078536987305,16,2934.493896484375,-7.611798286437988,560032,-6.990316867828369,0.00699031725525856,2540.849365234375,17500
32,0.0,-7.675079822540283,16,2935.811279296875,-7.682150840759277,576032,-7.071231842041016,0.007071231957525015,2796.57470703125,18000
32,0.0,-7.769506931304932,17,2936.658935546875,-7.77664852142334,592032,-7.141534805297852,0.007141535170376301,3071.236328125,18500
32,0.0,-7.788156509399414,17,2937.4248046875,-7.795357704162598,608032,-7.20107889175415,0.007201079279184341,3352.42919921875,19000
32,0.0,-7.787088871002197,18,2937.990234375,-7.794339179992676,624032,-7.250237464904785,0.0072502377443015575,3212.720703125,19500
32,0.0,-7.768124580383301,18,2938.433349609375,-7.775422096252441,640032,-7.297471046447754,0.0072974711656570435,3200.670166015625,20000
32,0.0,-7.532541751861572,19,2938.77197265625,-7.5398664474487305,656032,-7.324656963348389,0.007324657402932644,3007.61474609375,20500
32,0.0,-8.13538646697998,19,2939.91259765625,-8.142836570739746,672032,-7.450279235839844,0.007450279779732227,4529.13134765625,21000
32,0.0,-7.745692729949951,20,2940.004638671875,-7.753150939941406,688032,-7.458247184753418,0.00745824771001935,3916.02783203125,21500
32,0.0,-7.2724761962890625,20,2940.060302734375,-7.279952049255371,704032,-7.47566032409668,0.007475660648196936,3439.92138671875,22000
32,0.0,-2.2392473220825195,21,2941.00927734375,-2.246818780899048,720032,-7.571479797363281,0.0075714802369475365,17.06462287902832,22500
