bc/samples_so_far,bc/l2_norm,bc/entropy,bc/batch,bc/l2_loss,bc/prob_true_act,bc/ent_loss,bc/neglogp,bc/epoch,bc/loss,batch_size
432032,6270.994140625,0.014356688596308231,13500,0.0,0.9965580701828003,-1.4356689462147187e-05,0.0035300850868225098,11,0.003515728283673525,32
448032,6467.6884765625,0.01149449497461319,14000,0.0,0.9976115822792053,-1.1494495083752554e-05,0.0024340227246284485,12,0.0024225283414125443,32
464032,6701.533203125,0.06539607048034668,14500,0.0,0.9738501906394958,-6.539607420563698e-05,0.03081148862838745,12,0.0307460930198431,32
480032,6919.63720703125,0.08546217530965805,15000,0.0,0.9640318155288696,-8.546217577531934e-05,0.04522666707634926,13,0.045141205191612244,32
496032,7128.53076171875,0.04234720766544342,15500,0.0,0.962315559387207,-4.234720836393535e-05,0.07587865740060806,13,0.07583630830049515,32
512032,7316.45751953125,0.029833875596523285,16000,0.0,0.9718335866928101,-2.9833876396878622e-05,0.05229561775922775,13,0.05226578563451767,32
528032,7482.95361328125,0.05053991079330444,16500,0.0,0.982127845287323,-5.0539914809633046e-05,0.02038542740046978,14,0.020334888249635696,32
544032,7733.3056640625,0.0023084180429577827,17000,0.0,0.9996887445449829,-2.3084180611476768e-06,0.00031162798404693604,14,0.0003093195555265993,32
560032,7929.85205078125,0.050078604370355606,17500,0.0,0.9727271795272827,-5.0078608182957396e-05,0.03496663272380829,15,0.034916553646326065,32
576032,8146.412109375,0.054768361151218414,18000,0.0,0.9803504347801208,-5.4768363042967394e-05,0.021986203268170357,15,0.02193143405020237,32
592032,8344.0244140625,0.02510368824005127,18500,0.0,0.9745745062828064,-2.5103689040406607e-05,0.04702738672494888,16,0.04700228199362755,32
608032,8512.26171875,0.04521322622895241,19000,0.0,0.9824693202972412,-4.5213229896035045e-05,0.020033065229654312,16,0.01998785138130188,32
624032,8724.0458984375,0.06760890036821365,19500,0.0,0.9714536666870117,-6.760890391888097e-05,0.03355906531214714,17,0.033491455018520355,32
640032,8920.7373046875,0.05155132710933685,20000,0.0,0.9807572364807129,-5.1551331125665456e-05,0.0217423178255558,17,0.021690767258405685,32
656032,9143.0947265625,0.07282433658838272,20500,0.0,0.9628075957298279,-7.28243394405581e-05,0.04995887726545334,17,0.04988605156540871,32
672032,9336.087890625,0.05944114178419113,21000,0.0,0.9641528725624084,-5.94411430938635e-05,0.0554666705429554,18,0.05540722981095314,32
688032,9535.9375,0.03961034491658211,21500,0.0,0.9821754693984985,-3.9610345993423834e-05,0.022488104179501534,18,0.022448493167757988,32
