bc/epoch,bc/entropy,bc/ent_loss,bc/l2_norm,batch_size,bc/prob_true_act,bc/loss,bc/l2_loss,bc/samples_so_far,bc/neglogp,bc/batch
10,0.040050655603408813,-4.005065784440376e-05,6118.69873046875,32,0.9893537759780884,0.011183442547917366,0.0,464032,0.01122349314391613,14500
10,0.09038607776165009,-9.038608550326899e-05,6286.5234375,32,0.9293578863143921,0.11245600134134293,0.0,480032,0.11254638433456421,15000
10,0.04483484476804733,-4.4834847358288243e-05,6474.46484375,32,0.9808571934700012,0.024545274674892426,0.0,496032,0.024590110406279564,15500
11,0.060541652143001556,-6.054165351088159e-05,6688.423828125,32,0.9723215699195862,0.034493960440158844,0.0,512032,0.03455450385808945,16000
11,0.01910872384905815,-1.9108725609839894e-05,6891.42236328125,32,0.9959383606910706,0.004103096202015877,0.0,528032,0.004122205078601837,16500
11,0.12199588865041733,-0.00012199589400552213,7072.9951171875,32,0.9191020131111145,0.12347293645143509,0.0,544032,0.12359493225812912,17000
12,0.04783615469932556,-4.7836158046266064e-05,7233.21728515625,32,0.9733675718307495,0.03617069497704506,0.0,560032,0.03621853142976761,17500
12,0.09161242097616196,-9.161242633126676e-05,7417.29931640625,32,0.9667401313781738,0.03947195038199425,0.0,576032,0.03956356272101402,18000
12,0.09119775891304016,-9.119776223087683e-05,7628.31787109375,32,0.9280309677124023,0.11857865750789642,0.0,592032,0.11866985261440277,18500
13,0.01602354645729065,-1.6023546777432784e-05,7789.59912109375,32,0.996434211730957,0.0036453891079872847,0.0,608032,0.0036614127457141876,19000
13,0.04585697874426842,-4.5856981159886345e-05,7962.22900390625,32,0.9695709943771362,0.043142903596162796,0.0,624032,0.04318876191973686,19500
13,0.055101118981838226,-5.510112168849446e-05,8161.29345703125,32,0.9380364418029785,0.1347702145576477,0.0,640032,0.13482531905174255,20000
14,0.1002471074461937,-0.00010024711082223803,8325.85546875,32,0.9354158043861389,0.09927918016910553,0.0,656032,0.09937942773103714,20500
14,0.08322420716285706,-8.322420762851834e-05,8522.2138671875,32,0.9222701787948608,0.14769355952739716,0.0,672032,0.1477767825126648,21000
14,0.016527043655514717,-1.652704486332368e-05,8713.7099609375,32,0.9963176250457764,0.003803545841947198,0.0,688032,0.0038200728595256805,21500
15,0.06735560297966003,-6.73556060064584e-05,8881.75,32,0.9586880207061768,0.05636084824800491,0.0,704032,0.0564282052218914,22000
