bc/samples_so_far,bc/epoch,bc/l2_norm,bc/batch,bc/entropy,bc/prob_true_act,bc/neglogp,bc/loss,bc/l2_loss,batch_size,bc/ent_loss
256032,13,145.59637451171875,8000,1.1290826797485352,0.4132944643497467,1.0884912014007568,1.0873621702194214,0.0,32,-0.0011290827533230186
272032,14,145.39468383789062,8500,1.1825642585754395,0.4061909317970276,1.162995457649231,1.1618129014968872,0.0,32,-0.0011825643014162779
288032,15,145.57737731933594,9000,1.1357922554016113,0.3862440288066864,1.174056887626648,1.172921061515808,0.0,32,-0.001135792350396514
304032,16,145.57171630859375,9500,1.1498366594314575,0.3909977078437805,1.2375949621200562,1.2364450693130493,0.0,32,-0.0011498366948217154
320032,17,145.8074951171875,10000,1.1148362159729004,0.4360002279281616,1.0864193439483643,1.0853044986724854,0.0,32,-0.0011148363118991256
336032,18,145.82095336914062,10500,1.1107763051986694,0.46841639280319214,0.9694149494171143,0.9683041572570801,0.0,32,-0.0011107763275504112
352032,18,145.77366638183594,11000,1.1409473419189453,0.4261976480484009,1.122326374053955,1.1211854219436646,0.0,32,-0.0011409474536776543
368032,19,145.35389709472656,11500,1.192033052444458,0.39102545380592346,1.2175309658050537,1.2163389921188354,0.0,32,-0.0011920330580323935
384032,20,146.26309204101562,12000,1.1206024885177612,0.3503485321998596,1.3457105159759521,1.3445899486541748,0.0,32,-0.0011206025956198573
400032,21,146.20103454589844,12500,1.1177375316619873,0.43849876523017883,1.1100579500198364,1.1089402437210083,0.0,32,-0.0011177376145496964
416032,22,146.04359436035156,13000,1.1505964994430542,0.37272241711616516,1.2511049509048462,1.249954342842102,0.0,32,-0.0011505965376272798
432032,23,146.1694793701172,13500,1.1561870574951172,0.37850838899612427,1.447974443435669,1.446818232536316,0.0,32,-0.0011561871506273746
448032,24,146.23391723632812,14000,1.1602239608764648,0.4685559868812561,1.0263054370880127,1.025145173072815,0.0,32,-0.0011602239683270454
464032,24,146.11900329589844,14500,1.1885062456130981,0.4197135865688324,1.0884153842926025,1.0872268676757812,0.0,32,-0.0011885062558576465
480032,25,146.95777893066406,15000,1.0729448795318604,0.402502179145813,1.2370209693908691,1.2359479665756226,0.0,32,-0.001072944956831634
496032,26,146.74148559570312,15500,1.1270124912261963,0.42024415731430054,1.2073849439620972,1.206257939338684,0.0,32,-0.0011270125396549702
512032,27,147.01101684570312,16000,1.1057721376419067,0.37384140491485596,1.312077283859253,1.3109714984893799,0.0,32,-0.0011057722149416804
528032,28,146.39193725585938,16500,1.2362028360366821,0.4160318970680237,1.0340646505355835,1.032828450202942,0.0,32,-0.0012362028937786818
544032,29,147.25259399414062,17000,1.099682331085205,0.3813716471195221,1.17510187625885,1.1740021705627441,0.0,32,-0.0010996824130415916
560032,30,147.0441131591797,17500,1.11794114112854,0.4891161322593689,0.852421224117279,0.8513032793998718,0.0,32,-0.0011179412249475718
576032,30,147.40162658691406,18000,1.088573694229126,0.4594685733318329,1.0390654802322388,1.037976861000061,0.0,32,-0.0010885737137869
592032,31,147.1688995361328,18500,1.169623613357544,0.45833948254585266,0.8956992626190186,0.8945296406745911,0.0,32,-0.0011696236906573176
608032,32,147.52993774414062,19000,1.1094403266906738,0.4330020844936371,1.107337236404419,1.1062277555465698,0.0,32,-0.0011094403453171253
624032,33,147.4927215576172,19500,1.1434972286224365,0.4979119300842285,0.8159011602401733,0.8147576451301575,0.0,32,-0.0011434972984716296
640032,34,147.26795959472656,20000,1.185256004333496,0.3517817556858063,1.3719751834869385,1.370789885520935,0.0,32,-0.0011852560564875603
656032,35,148.03915405273438,20500,1.1100937128067017,0.34082087874412537,1.4715158939361572,1.4704058170318604,0.0,32,-0.00111009378451854
672032,36,147.98423767089844,21000,1.1173245906829834,0.4735812246799469,0.9668601751327515,0.965742826461792,0.0,32,-0.0011173246894031763
688032,37,147.85472106933594,21500,1.1750106811523438,0.4205506443977356,1.0236133337020874,1.0224382877349854,0.0,32,-0.0011750106932595372
704032,37,147.8358612060547,22000,1.1744945049285889,0.364324688911438,1.2821221351623535,1.2809476852416992,0.0,32,-0.0011744945077225566
